ø˘∑…,FC,FMC,SKC,SrC,±‚¿˙±Õ,∆“∆º,π∞∆ºΩ¥,√º«Ë∆—,±‚≈∏,¥ı∫Ì«œ∆Æ,
-10,25,31,6,0,15,9,9,9,1,12,
-9,28,36,8,0,15,7,13,18,5,17,
-8,32,44,24,0,23,19,18,60,11,23,
-7,29,56,16,0,44,23,27,491,10,43,
-6,24,71,15,0,38,23,17,530,14,43,
-5,44,84,26,0,36,33,24,643,28,76,
-4,48,134,20,0,56,47,38,939,19,197,
-3,50,148,38,1,59,28,54,1179,40,383,
-2,76,191,46,0,109,42,56,1676,66,882,
-1,182,211,98,0,358,56,94,2042,73,1841,
0,608,664,271,2,3969,189,371,3189,297,6049,
1,306,489,130,0,4382,144,192,1283,206,3300,
2,271,558,132,0,3899,323,196,1857,277,3097,
3,318,585,169,0,3468,476,211,2252,351,3056,
4,304,517,156,0,2952,758,187,2053,414,2333,
5,295,550,150,0,2517,973,231,1787,445,2479, 
6,343,599,200,1,2041,1366,247,1760,409,1952,
7,326,586,172,0,1601,1668,264,1533,391,1276,
8,312,544,175,0,1118,1896,217,1264,323,1280,
9,266,536,181,0,795,1906,198,1087,279,1061,
10,278,503,193,0,601,1781,205,880,293,684,
11,207,417,136,0,434,1565,172,726,248,453,
12,195,362,139,0,383,1538,166,528,242,341,
13,177,342,127,1,255,1272,130,511,171,220,
14,174,311,145,0,222,1134,120,402,174,173,
15,132,260,99,1,175,939,118,331,159,175,
16,97,239,106,0,149,745,94,270,154,117,
17,97,186,101,0,107,650,81,251,110,108,
18,80,159,102,0,87,514,57,193,67,88,
19,79,148,71,0,72,410,74,162,63,78,
20,64,145,72,0,44,362,58,167,48,62,
21,72,155,76,0,53,289,53,106,52,67,
22,64,155,101,0,50,259,51,129,43,70,
23,61,176,84,1,53,236,55,128,36,47,
24,55,157,67,0,52,241,47,83,46,60,
25,45,144,64,0,41,212,55,98,36,42,
26,63,122,82,0,38,228,40,85,38,42,
27,67,120,69,0,33,206,48,70,34,47,
28,59,100,72,0,40,168,37,69,36,52,
29,52,122,63,0,33,174,41,60,18,54,
30,51,126,61,2,45,157,38,58,19,44,
31,61,116,85,0,37,141,31,57,24,35,
32,45,113,87,1,30,104,37,42,32,55,
33,54,94,71,0,29,116,41,25,23,38,
34,48,137,77,0,29,99,47,34,27,55,
35,42,116,92,0,26,76,29,35,22,52,
36,41,131,102,0,24,87,39,37,32,55,
37,43,97,82,0,27,80,37,30,28,40,
38,34,98,79,1,32,68,34,25,40,49,
39,46,115,59,0,25,50,23,26,28,36,
40,31,99,65,0,31,40,30,32,23,27,
41,42,105,73,0,31,35,33,18,23,46,
42,34,104,53,0,27,33,28,30,20,25,
43,38,75,81,0,24,24,24,29,14,33,
44,35,81,65,0,13,37,31,24,25,45,
45,36,90,58,0,17,36,36,19,18,29,
46,23,73,76,0,21,26,30,23,15,30,
47,35,91,70,0,30,28,40,27,7,27,
48,59,104,54,0,32,31,32,19,14,34,
49,29,79,54,0,29,27,37,33,27,29,
50,37,69,63,0,21,23,13,33,22,20,
51,35,65,72,0,26,39,27,30,15,24,
52,29,73,45,0,16,28,25,14,18,28,
53,31,68,59,0,20,21,27,32,17,26,
54,23,66,50,0,13,26,19,25,9,22,
55,24,65,69,0,18,15,25,24,10,29,
56,32,74,49,0,18,24,28,31,7,27,
57,32,77,43,0,10,21,20,16,13,18,
58,25,76,55,0,15,23,27,14,14,11,
59,29,78,54,0,20,24,23,20,6,20,
60,28,61,37,0,18,23,20,17,12,13,
61,28,59,35,0,9,20,24,20,10,11,
62,24,65,42,0,13,19,27,12,7,18,
63,23,60,51,0,7,16,14,16,6,29,
64,27,65,38,0,14,14,8,9,10,29,
65,28,60,35,0,11,24,24,19,4,18,
66,21,50,28,0,16,14,19,10,12,22,
67,24,45,38,0,8,17,22,8,13,9,
68,20,53,26,0,10,15,20,10,9,17,
69,16,50,49,0,11,8,11,7,5,15,
70,17,46,26,0,7,17,26,16,1,22,
71,19,56,33,0,14,16,11,10,10,20,
72,19,34,22,0,6,19,10,11,4,23,
73,17,45,35,0,8,18,19,14,8,24,
74,23,41,24,0,13,8,14,9,16,23,
75,21,38,23,0,9,12,11,8,11,24,
76,12,35,24,0,8,13,9,5,6,13,
77,23,41,18,0,11,4,5,13,5,14,
78,14,36,23,0,5,9,15,10,5,11,
79,11,26,19,0,7,9,7,15,10,13,
80,14,27,21,0,4,5,10,8,4,10,
81,13,38,30,0,5,7,13,7,2,8,
82,20,26,31,0,7,9,7,4,4,4,
83,20,39,28,0,4,10,14,6,2,6,
84,14,36,22,0,2,4,9,9,6,8,
999,4056,9560,2012,3,3795,2604,2321,3182,1132,3192,
